season,game_type,week,gametime,away_team,away_score,home_team,home_score,result,total,overtime,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,Score_Diff,Home_Win?
2020,REG,7,20:15,CHI,10,LA,24,14,34,0,8,8,251,-291,6.5,101,-112,44,-109,-102,0,dome,matrixturf,,,14,1
2020,REG,8,20:20,ATL,25,CAR,17,-8,42,0,4,4,104,-115,1.5,-109,-102,52,-110,-101,1,outdoors,grass,76,8,-8,0
2020,REG,8,13:00,PIT,28,BAL,24,-4,52,0,7,14,178,-200,4,-109,-102,44,-108,-103,1,outdoors,grass,52,7,-4,0
2020,REG,8,13:00,NE,21,BUF,24,3,45,0,7,7,175,-197,4,-105,-105,41,-102,-109,1,outdoors,astroturf,41,17,3,1
2020,REG,8,13:00,TEN,20,CIN,31,11,51,0,7,7,-321,274,-7.5,107,-118,49.5,-115,103,0,outdoors,grass,48,24,11,1
2020,REG,8,13:00,LV,16,CLE,6,-10,22,0,7,7,117,-130,1,111,-123,48,-117,105,0,outdoors,grass,49,35,-10,0
2020,REG,8,13:00,IND,41,DET,21,-20,62,0,14,7,-185,165,-3.5,-103,-107,49,-102,-109,0,dome,fieldturf,,,-20,0
2020,REG,8,13:00,MIN,28,GB,22,-6,50,0,14,7,218,-249,5.5,-101,-109,47,-102,-109,1,outdoors,grass,34,23,-6,0
2020,REG,8,13:00,NYJ,9,KC,35,26,44,0,7,7,1204,-1965,20,-102,-108,49,-105,-106,0,outdoors,astroturf,52,11,26,1
2020,REG,8,13:00,LA,17,MIA,28,11,45,0,6,14,-176,157,-3.5,101,-111,46.5,-100,-111,0,outdoors,grass,86,10,11,1
2020,REG,8,16:05,LAC,30,DEN,31,1,61,0,7,7,-146,132,-3,103,-114,44.5,-106,-105,1,outdoors,grass,64,10,1,1
2020,REG,8,16:25,NO,26,CHI,23,-3,49,1,7,6,-229,202,-5.5,100,-110,41,-109,-102,0,outdoors,grass,40,20,-3,0
2020,REG,8,16:25,SF,27,SEA,37,10,64,0,7,7,-100,-110,1,-108,-102,54.5,-103,-108,1,outdoors,fieldturf,55,4,10,1
2020,REG,8,20:20,DAL,9,PHI,23,14,32,0,7,10,335,-403,10,-100,-110,43,-105,-106,1,outdoors,grass,49,17,14,1
2020,REG,8,20:15,TB,25,NYG,23,-2,48,0,8,11,-598,470,-13,105,-115,47,-115,103,0,outdoors,fieldturf,39,8,-2,0
2020,REG,9,20:20,GB,34,SF,17,-17,51,0,4,4,-246,215,-6,100,-110,48.5,-113,101,0,outdoors,grass,78,5,-17,0
2020,REG,9,13:00,DEN,27,ATL,34,7,61,0,7,10,193,-218,4.5,-108,-102,50,-101,-110,0,closed,fieldturf,,,7,1
2020,REG,9,13:00,SEA,34,BUF,44,10,78,0,7,7,-164,147,-3,-109,-101,55,-101,-110,0,outdoors,astroturf,69,4,10,1
2020,REG,9,13:00,BAL,24,IND,10,-14,34,0,7,7,-106,-104,1,-113,102,48,-114,102,0,closed,fieldturf,,,-14,0
2020,REG,9,13:00,HOU,27,JAX,25,-2,52,0,14,14,-289,249,-7,106,-117,49,-107,-104,1,outdoors,grass,79,14,-2,0
2020,REG,9,13:00,CAR,31,KC,33,2,64,0,10,7,365,-445,10,-106,-104,51.5,-102,-109,0,outdoors,astroturf,71,19,2,1
